gene_symbol	module_id	module_class	sensor_family	activation_tier	scoring_direction	cell_type_breadth	detectability	also_in_module	doi	aliases	sensor	panel_source
FAS	SENESCENCE	senescence_surface		Post-NASP	positive	Broad	low		10.1038/s41580-024-00738-8			SenNet
FOXO4	SENESCENCE	senescence_survival		Post-NASP	positive	Broad	low		10.1016/j.cell.2017.02.031			
GLB1	SENESCENCE	senescence_core		Post-NASP	positive	Broad	medium		10.1038/s41580-024-00738-8			SenNet
H2AX	SENESCENCE	senescence_core		Post-NASP	positive	Broad	medium		10.1038/s41580-024-00738-8			SenNet
HMGA1	SENESCENCE	senescence_core		Post-NASP	positive	Broad	high		10.1016/j.cell.2006.05.052			
HMGA2	SENESCENCE	senescence_core		Post-NASP	positive	Broad	high		10.1016/j.cell.2006.05.052			
HMGB1	SENESCENCE	senescence_proliferation_inverse		Post-NASP	inverse	Broad	high		10.1038/s41580-024-00738-8			SenNet
HMGB2	SENESCENCE	senescence_proliferation_inverse		Post-NASP	inverse	Broad	high		10.1083/jcb.201608026			
LMNB1	SENESCENCE	senescence_core		Post-NASP	inverse	Broad	medium		10.1038/s41580-024-00738-8			SenNet
LMNB2	SENESCENCE	senescence_core		Post-NASP	inverse	Broad	low		10.1038/s41580-024-00738-8			SenNet
MCL1	SENESCENCE	senescence_survival		Post-NASP	positive	Broad	high	MITOCHONDRIAL_NA_SENSING	10.1038/s41580-024-00738-8			SenNet
MDM2	SENESCENCE	senescence_core		Post-NASP	positive	Broad	medium		10.1038/s41580-024-00738-8			SenNet
MICA	SENESCENCE	senescence_surface		Post-NASP	positive	Broad	low		10.18632/aging.100897			
MICB	SENESCENCE	senescence_surface		Post-NASP	positive	Broad	medium		10.1172/jci.insight.124716			
MKI67	SENESCENCE	senescence_proliferation_inverse		Post-NASP	inverse	Broad	medium		10.1038/s41580-024-00738-8			SenNet
PIK3CA	SENESCENCE	senescence_survival		Post-NASP	positive	Broad	medium		10.1038/s41580-024-00738-8			SenNet
RB1	SENESCENCE	senescence_core		Post-NASP	inverse	Broad	high		10.1038/s41580-024-00738-8			SenNet
TAF1	SENESCENCE	senescence_core		Post-NASP	positive	Broad	medium		10.1038/s41580-024-00738-8			SenNet
TP53	SENESCENCE	senescence_core		Post-NASP	positive	Broad	low		10.1038/s41580-024-00738-8			SenNet
TP53BP1	SENESCENCE	senescence_core		Post-NASP	inverse	Broad	high		10.1038/s41580-024-00738-8			SenNet
ULBP1	SENESCENCE	senescence_surface		Post-NASP	positive	Broad	low		10.18632/aging.100897			
ULBP2	SENESCENCE	senescence_surface		Post-NASP	positive	Broad	low		10.18632/aging.100897			
ULBP3	SENESCENCE	senescence_surface		Post-NASP	positive	Broad	low		10.18632/aging.100897			
BTK	SIGNALING_CONTEXT_TBK1_IRF	signal_kinase	cGAS-STING	Active	positive	Immune-enriched	low		10.1016/j.celrep.2015.01.039			
CHUK	SIGNALING_CONTEXT_NFKB	signal_transduction		Active	positive	Broad	low		10.1002/embr.201337983			
ELAVL1	SIGNALING_CONTEXT_NFKB	signal_transduction	Multi	Active	positive	Broad	medium		10.1038/s44318-024-00331-x			
HNRNPM	SIGNALING_CONTEXT_TBK1_IRF	signal_transduction	Multi	Active	positive	Broad	high		10.1038/s44318-024-00331-x			
IKBKB	SIGNALING_CONTEXT_NFKB	signal_transduction		Active	positive	Broad	medium		10.1002/embr.201337983			
IKBKE	SIGNALING_CONTEXT_TBK1_IRF	signal_transduction		Active	positive	Broad	low		10.1038/ni921			
IKBKG	SIGNALING_CONTEXT_NFKB	signal_transduction		Active	positive	Broad	low		10.1002/embr.201337983			
